City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Pressure,Country,Date
0,Sitka,57.0531,-135.33,37.29,87,100,4.61,1018,US,1732703875
1,Bethel,41.3712,-73.414,38.66,78,0,4.61,1016,US,1732703877
2,Carutapera,-1.195,-46.02,83.05,67,64,10.45,1012,BR,1732703878
3,Tongliao,43.6125,122.2653,17.37,72,98,10.02,1004,CN,1732703879
4,São Raimundo Nonato,-9.0153,-42.6994,79.68,70,51,9.04,1014,BR,1732703880
5,Aykhal,66.0,111.5,5.14,97,86,13.87,1006,RU,1732703881
6,Weno,7.4515,151.8468,82.35,83,100,9.22,1009,FM,1732703882
7,Grytviken,-54.2811,-36.5092,34.88,74,70,3.36,988,GS,1732703883
8,Poltavka,54.3663,71.7632,16.16,85,14,7.67,1031,RU,1732703885
9,Ushuaia,-54.8,-68.3,44.26,70,20,17.27,1014,AR,1732703717
10,Iqaluit,63.7506,-68.5145,-4.27,70,20,8.05,1026,CA,1732703887
11,Stanley,54.868,-1.6985,37.42,95,75,6.91,1015,GB,1732703888
12,Bandarbeyla,9.4942,50.8122,81.79,62,99,16.67,1010,SO,1732703889
13,Correntina,-13.3433,-44.6367,70.29,94,100,4.41,1015,BR,1732703890
14,Qaqortoq,60.7167,-46.0333,21.87,73,26,9.42,1015,GL,1732703891
15,Puerto Ayora,-0.7393,-90.3518,70.3,81,98,10.4,1013,EC,1732703892
16,Arak,34.0917,49.6892,57.96,33,40,16.11,1010,IR,1732703893
17,Longyearbyen,78.2186,15.6401,12.04,85,100,12.66,1004,SJ,1732703895
18,Puerto Natales,-51.7236,-72.4875,48.15,68,100,3.49,1014,CL,1732703896
19,Adamstown,-25.066,-130.1015,72.34,83,59,20.62,1022,PN,1732703897
20,Bhamo,24.2667,97.2333,70.05,71,97,2.57,1012,MM,1732703898
21,Albany,42.6001,-73.9662,37.24,77,96,1.01,1015,US,1732703715
22,Edinburgh of the Seven Seas,-37.0676,-12.3116,57.88,86,72,28.32,1012,SH,1732703900
23,Skagen,57.7209,10.5839,43.5,80,94,7.96,1015,DK,1732703901
24,Port-aux-Français,-49.35,70.2167,38.98,70,68,20.76,1007,TF,1732703715
25,Chamdo,31.1667,97.2333,27.16,55,88,1.14,1012,CN,1732703904
26,Port Saint John's,-31.6229,29.5448,67.05,75,100,14.72,1010,ZA,1732703906
27,Sollefteå,63.1667,17.2667,24.66,89,41,3.8,1017,SE,1732703907
28,Patacamaya,-17.2333,-67.9167,51.58,71,100,4.54,1014,BO,1732703908
29,Papatowai,-46.5619,169.4708,59.16,79,88,5.39,1013,NZ,1732703909
30,George Town,5.4112,100.3354,78.73,82,40,10.36,1008,MY,1732703910
31,Waitangi,-43.9535,-176.5597,53.22,71,95,5.14,1024,NZ,1732703842
32,Nadi,-17.8,177.4167,77.0,88,40,4.61,1012,FJ,1732703913
33,Blackmans Bay,-43.0167,147.3167,60.93,95,100,1.01,1007,AU,1732703914
34,San Patricio,28.017,-97.5169,58.95,96,28,6.02,1013,US,1732703915
35,Tralee,52.2704,-9.7026,30.45,100,0,2.3,1017,IE,1732703916
36,Esim,4.8699,-2.2405,86.49,59,0,5.32,1013,GH,1732703917
37,Selfoss,63.9331,-20.9971,38.05,83,100,19.91,1007,IS,1732703918
38,Monteagudo,-19.8167,-63.9833,72.68,75,100,0.22,1006,BO,1732703919
39,Lubny,50.0163,32.9969,32.76,78,86,4.05,1024,UA,1732703922
40,Wailua Homesteads,22.0669,-159.378,72.12,87,0,5.75,1018,US,1732703923
41,Pacific Grove,36.6177,-121.9166,53.71,90,0,8.99,1020,US,1732703924
42,Ancud,-41.8697,-73.8203,47.17,90,15,4.5,1017,CL,1732703925
43,Klyuchi,52.2667,79.1667,15.67,90,10,4.5,1034,RU,1732703926
44,Karasuk,53.7377,78.0403,13.26,92,5,4.9,1034,RU,1732703927
45,Katsuura,35.1333,140.3,62.56,58,4,30.62,1007,JP,1732703928
46,Ribeira Grande,38.5167,-28.7,65.77,82,75,21.85,1000,PT,1732703929
47,Fort Bragg,35.139,-79.006,46.81,72,0,4.61,1018,US,1732703931
48,Lihue,21.9789,-159.3672,72.73,85,0,5.75,1018,US,1732703932
49,Olonkinbyen,70.9221,-8.7187,18.03,86,100,27.27,1009,SJ,1732703933
50,Cabo San Lucas,22.8909,-109.9124,71.76,62,5,9.42,1014,MX,1732703652
51,São Tomé,0.3365,6.7273,81.64,74,68,3.15,1013,ST,1732703935
52,La Sarre,48.8002,-79.1996,25.34,94,100,13.65,1004,CA,1732703936
53,Jamestown,42.097,-79.2353,35.24,84,100,7.0,1018,US,1732703937
54,Keflavik,64.0049,-22.5624,41.43,87,75,27.63,1005,IS,1732703938
55,Prineville,44.2999,-120.8345,26.11,92,0,0.0,1028,US,1732703940
56,Guarapari,-20.6667,-40.4975,75.69,69,28,7.43,1014,BR,1732703941
57,Miro Khan,27.7599,68.0921,88.86,19,0,3.24,1010,PK,1732703942
